날짜,카드내역,가격,분류
2023-08-01,카카오페이,"10,000",이체
2023-07-31,월선네,"56,000",식당
2023-07-31,카카오페이,"30,400",이체
2023-07-29,은파주유소,"46,000",주유소
2023-07-28,지마켓,"22,890",쇼핑
2023-07-28,세븐일레븐종로창경궁로점,"9,000",편의점
2023-07-28,이디야 종로4가점,"19,600",카페
2023-07-28,씨유 종료연지점,"2,090",편의점
2023-07-27,언커먼그라운드커피,"9,000",카페
2023-07-27,오늘봄한의원,"11,400",병원
2023-07-27,세븐일레븐종로창경궁로점,"8,300",편의점
2023-07-26,씨스페이스 창경궁로점,"5,000",편의점
2023-07-25,세븐일레븐종로창경궁로점,"5,000",편의점
2023-07-24,세븐일레븐종로창경궁로점,"4,500",편의점
2023-07-23,씨유 길동우성점,950,편의점
2023-07-22,픽미픽미 길동역점,"2,000",카페
2023-07-22,이마트24 영릉송파가락점,"4,500",편의점
2023-07-21,이디야 마곡나루역점,"4,900",카페
2023-07-21,지마켓,"7,500",쇼핑
2023-07-21,컴포즈커피 혜화경핯럿점,"13,500",카페
2023-07-21,잔등재,"46,000",식당
2023-07-20,이마트24 영릉송파가락점,"1,900",편의점
2023-07-20,교통요금,900,교통요금
2023-07-20,교통요금,"24,350",교통요금
2023-07-20,오늘봄한의원,"11,400",병원
2023-07-20,세븐일레븐종로창경궁로점,"4,500",편의점
2023-07-18,강가네떡볶이,"18,000",식당
2023-07-18,오늘봄한의원,"11,400",병원
